Rank,Country,Population,% of world population,Date,Source
201,Antigua and Barbuda,96453,0.000,01-Jul-19,National annual projection
202,Isle of Man (UK),83314,0.000,24-Apr-16,2016 census result
203,Andorra,77543,0.000,31-Dec-19,National estimate
204,Dominica,71808,0.000,01-Jul-19,UN projection
205,Cayman Islands (UK),65813,0.000,31-Dec-18,National estimate
206,Bermuda (UK),64027,0.000,01-Jul-19,National annual projection
207,Guernsey (UK),62792,0.000,31-Mar-19,National estimate
208,American Samoa (US),56700,0.000,01-Jul-18,National annual estimate
209,Greenland (Denmark),56081,0.000,01-Jan-20,National estimate
210,Northern Mariana Islands (US),56200,0.000,01-Jul-18,National annual estimate
211,Marshall Islands,55500,0.000,01-Jul-18,National annual estimate
212,South Ossetia,53532,0.000,15-Oct-15,Preliminary 2015 census result
213,Saint Kitts and Nevis,52823,0.000,01-Jul-19,UN projection
214,Faroe Islands (Denmark),52124,0.000,01-Jan-20,Monthly national estimate
215,Turks and Caicos Islands (UK),41369,0.000,01-Jul-18,National estimate
216,Sint Maarten (Netherlands),40614,0.000,01-Jan-18,National estimate
217,Liechtenstein,38749,0.000,31-Dec-19,National semi annual estimate
218,Monaco,38300,0.000,31-Dec-18,National annual estimate
219,Saint Martin (France),35746,0.000,01-Jan-16,National estimate
220,Gibraltar (UK),33701,0.000,01-Jul-19,UN projection
221,San Marino,33574,0.000,31-Dec-19,National monthly estimate
222,British Virgin Islands (UK),30030,0.000,01-Jul-19,UN projection
223,Åland Islands (Finland),29885,0.000,31-Jan-20,National annual estimate
224,Palau,17900,0.000,01-Jul-18,National annual estimate
225,Cook Islands (NZ),15200,0.000,01-Jul-18,National annual estimate
226,Anguilla (UK),14869,0.000,01-Jul-19,UN projection
227,Wallis and Futuna (France),11700,0.000,01-Jul-18,National annual estimate
228,Nauru,11000,0.000,01-Jul-18,National annual estimate
229,Tuvalu,10200,0.000,01-Jul-18,National annual estimate
230,Saint Barthélemy (France),9793,0.000,01-Jan-16,National estimate
231,Saint Pierre and Miquelon (France),6008,0.000,01-Jan-16,National estimate
232,"Saint Helena, Ascensionand Tristan da Cunha (UK)",5633,0.000,07-Feb-16,2016 census result
233,Montserrat (UK),4989,0.000,01-Jul-19,UN projection
234,Falkland Islands (UK),3198,0.000,09-Oct-16,2016 census result
235,Christmas Island (Australia),1928,0.000,30-Jun-18,National estimate
236,Norfolk Island (Australia),1756,0.000,30-Jun-18,National estimate
237,Niue (NZ),1520,0.000,01-Jul-18,National annual estimate
238,Tokelau (NZ),1400,0.000,01-Jul-18,National annual estimate
239,Vatican City,799,0.000,01-Jul-19,UN projection
240,Cocos (Keeling) Islands (Australia),538,0.000,30-Jun-18,National estimate
241,Pitcairn Islands (UK),50,0.000,01-Jan-19,National estimate
242,World,7772832000,1.000,20-Mar-20,UN projection
